,AGE,LENGTH,MAPSCOGRID,SLOPE,SUBAREA,DIAMETER,MATERIAL,PACP,SUBAREA_Encoded,MATERIAL_Encoded,MAPSCOGRID_Encoded
2376,9.6,180,21N,0.0376,BF09_03,8,P.V.C.,1,43,6,158
2377,2.2,298,75F,0.0234,CF10_04,8,P.V.C.,1,102,6,672
2378,14.2,111,67Z,0.0006,VC01_01,42,FIBERGLASS,1,252,4,583
2379,65.7,156,76Y,0.0214,CF03_05,10,CONCRETE,2,62,2,713
2380,20.5,606,74H,0.0368,WF03_04,8,H.D.P.E.,1,320,5,650
2381,19.6,131,77E,0.0088,CF01_02,8,P.V.C.,2,47,6,719
2382,5.1,16,79H,0.0131,VC06_01,8,P.V.C.,1,276,6,770
2383,4.6,507,78T,0.0211,SC10_08,8,P.V.C.,1,242,6,756
2384,6.8,72,78T,0.0042,SC11_03,8,D.I.,2,245,3,756
2385,95.2,200,77J,0.0192,SC01_03,6,V.C.,4,186,8,723
2386,15.1,165,62D,0.0069,MC02_03,24,D.I.,1,147,3,456
2387,29.0,179,72A,0.0109,WF05_04,8,P.V.C.,2,329,6,604
2388,29.0,164,58W,0.0479,WF05_04,8,P.V.C.,1,329,6,400
2389,18.1,64,75E,0.0064,WF03_03,8,D.I.,1,319,3,671
2390,17.9,86,75E,0.1808,WF03_03,8,D.I.,1,319,3,671
2391,57.8,387,90P,0.0109,SC05_05,6,V.C.,3,207,8,910
2392,13.0,257,75U,0.004,CF05_01,8,P.V.C.,1,70,6,685
2393,13.1,164,76C,0.0012,CF02_01,48,CONCRETE,1,53,2,693
2394,14.6,166,64Z,0.0081,SC10_01,8,P.V.C.,2,235,6,525
2395,0.1,181,75F,0.0099,CF11_07,8,P.V.C.,1,110,6,672
2396,44.2,822,49P,0.0015,BF02_03,24,V.C.,3,6,8,355
2397,50.0,165,91L,0.0169,SC05_02,33,CONCRETE,1,204,2,929
2398,9.6,39,21N,0.0149,BF09_03,8,P.V.C.,1,43,6,158
2399,7.1,289,65Q,0.004,VC02_05,8,P.V.C.,1,262,6,534
2400,7.0,499,65Q,0.003,VC02_05,10,P.V.C.,1,262,6,534
2401,18.4,277,66W,0.0263,VC04_04,8,P.V.C.,1,270,6,561
2402,43.0,79,63W,0.0086,CF01_03,6,C.I.,2,48,1,497
2403,4.7,93,120A,0.002,VC11_02,12,P.V.C.,1,301,6,121
2404,61.1,317,90A,0.0182,CF04_03,6,CONCRETE,3,65,2,897
2405,10.8,206,81B,0.0285,VC01_01,8,P.V.C.,2,252,6,817
2406,1.5,353,22T,0.0418,BF08_02,8,P.V.C.,1,38,6,181
2407,46.6,522,65M,0.0003,BF01_04,36,CONCRETE,3,3,2,531
2408,46.6,604,65H,0.0007,BF01_04,36,CONCRETE,3,3,2,528
2409,28.7,650,65G,0.0008,BF01_04,54,CONCRETE,3,3,2,527
2410,33.8,950,51J,0.0124,BF05_01,48,CONCRETE,5,20,2,377
2411,9.6,83,46H,0.0029,MC07_01,10,P.V.C.,1,174,6,284
2412,5.0,97,46H,0.0716,MC07_01,8,P.V.C.,1,174,6,284
2413,44.8,167,89B,0.0402,CF07_01,6,V.C.,1,82,8,864
2414,27.7,413,88R,0.0233,CF07_03,12,P.V.C.,1,84,6,854
2415,27.7,103,88L,0.0485,CF07_03,10,P.V.C.,2,84,6,849
2416,4.2,70,35S,0.03,BF05_03,8,P.V.C.,1,22,6,248
2417,4.5,325,62Y,0.0039,WF02_01,8,D.I.,1,312,3,475
2418,51.2,700,75R,0.001,CF11_01,48,CONCRETE,3,104,2,682
2419,30.3,283,66S,0.0934,VC02_03,8,P.V.C.,2,260,6,557
2420,57.4,59,74T,0.0892,CF12_02,8,CONCRETE,2,112,2,660
2421,65.2,103,90A,0.0097,CF04_03,6,CONCRETE,3,65,2,897
2422,69.0,85,89H,0.0106,CF04_05,6,CONCRETE,4,67,2,870
2423,62.9,57,89D,0.013000000000000001,CF04_05,6,CONCRETE,3,67,2,866
2424,25.3,149,90S,0.0223,SC08_02,8,P.V.C.,1,224,6,913
2425,1.5,58,90A,0.0109,CF04_03,8,P.V.C.,1,65,6,897
2426,43.4,50,66S,0.0064,VC02_04,6,V.C.,1,261,8,557
2427,9.5,128,67Y,0.0006,VC01_01,72,FIBERGLASS,1,252,4,582
2428,9.5,979,81C,0.0006,VC01_01,72,H.D.P.E.,1,252,5,818
2429,7.9,19,81F,0.0105,VC01_01,10,P.V.C.,2,252,6,820
2430,11.9,371,74G,0.0376,WF03_04,8,P.V.C.,1,320,6,649
2431,46.8,303,74H,0.0047,WF03_04,8,V.C.,2,320,8,650
2432,33.0,116,75E,0.064,WF03_03,6,V.C.,3,319,8,671
2433,9.8,67,89C,0.0078,CF04_07,8,H.D.P.E.,1,69,5,865
2434,10.1,302,89C,0.015,CF05_02,8,P.V.C.,1,71,6,865
2435,30.1,396,104A,0.0389,SC09_01,6,P.V.C.,1,229,6,37
2436,1.2,136,64T,0.004,BF03_01,8,P.V.C.,1,8,6,521
2437,9.6,100,67Z,0.0007,VC01_01,72,FIBERGLASS,1,252,4,583
2438,9.5,869,81F,0.0023,VC01_01,60,H.D.P.E.,1,252,5,820
2439,5.1,165,5M,0.0176,DC02_06,8,P.V.C.,1,135,6,410
2440,37.8,372,58X,0.0263,WF05_02,6,V.C.,2,327,8,401
2441,13.0,218,72J,0.0085,CF14_02,8,P.V.C.,1,125,6,610
2442,26.6,3,90A,0.0067,CF04_03,6,V.C.,2,65,8,897
2443,27.7,454,88Q,0.0381,CF07_03,10,P.V.C.,2,84,6,853
2444,9.7,417,47E,0.0022,MC07_01,12,P.V.C.,2,174,6,300
2445,4.9,96,46H,0.0276,MC07_01,8,P.V.C.,1,174,6,284
2446,0.4,175,90V,0.0097,SC08_01,8,P.V.C.,1,223,6,916
2447,7.1,120,65Q,0.0039,VC02_05,8,P.V.C.,1,262,6,534
2448,17.6,264,66W,0.0311,VC04_04,8,P.V.C.,2,270,6,561
2449,13.4,139,90S,0.0176,SC08_02,8,H.D.P.E.,2,224,5,913
2450,54.6,331,90S,0.0242,SC08_02,6,CONCRETE,3,224,2,913
2451,61.6,108,76L,0.0371,CF02_02,6,C.I.,3,54,1,701
2452,90.1,49,76F,0.0188,CF02_01,30,CONCRETE,1,53,2,696
2453,10.8,169,81B,0.0427,VC01_01,8,D.I.,1,252,3,817
2454,14.2,376,68S,0.0006,VC01_01,72,FIBERGLASS,1,252,4,586
2455,9.5,825,81F,0.0023,VC01_01,60,H.D.P.E.,2,252,5,820
2456,31.5,512,81F,0.0022,VC01_01,12,D.I.,1,252,3,820
2457,46.4,91,89N,0.0117,CF07_03,18,CONCRETE,2,84,2,875
2458,29.1,66,89S,0.0105,CF07_04,18,CONCRETE,2,85,2,879
2459,22.5,125,88R,0.048,CF07_03,8,P.V.C.,1,84,6,854
2460,9.5,93,47E,0.0231,MC07_01,8,P.V.C.,1,174,6,300
2461,59.3,61,90V,0.0184,SC08_01,6,V.C.,1,223,8,916
2462,51.2,393,76N,0.0015,CF04_01,48,CONCRETE,3,63,2,703
2463,32.6,65,50W,0.0012,BF02_01,27,V.C.,1,4,8,373
2464,46.4,447,64M,0.0011,BF02_01,48,CONCRETE,4,4,2,515
2465,10.2,101,76D,0.0323,CF01_04,8,D.I.,1,49,3,694
2466,7.7,24,21X,0.0958,BF09_03,6,P.V.C.,2,43,6,165
2467,1.2,115,64T,0.004,BF03_01,8,P.V.C.,1,8,6,521
2468,1.2,77,64T,0.004,BF03_01,8,P.V.C.,1,8,6,521
2469,17.7,97,103D,0.0313,SC08_06,8,D.I.,2,228,3,16
2470,6.0,422,66C,0.004,BF01_03,8,P.V.C.,1,2,6,544
2471,5.1,486,66C,0.0041,BF01_03,8,P.V.C.,1,2,6,544
2472,32.0,1455,64Q,0.0005,BF03_01,90,CONCRETE,2,8,2,518
2473,4.4,14,35G,0.0057,BF09_03,8,P.V.C.,1,43,6,239
2474,45.7,1306,64U,0.0005,BF03_01,90,CONCRETE,3,8,2,522
2475,52.9,850,64X,0.0009,SC01_01,72,CONCRETE,2,184,2,524
